Designator,Mid X,Mid Y,Rotation,Layer
C10,127.254,-42.672,180.0,top
C100,176.657,-123.952,0.0,top
C101,188.722,-92.456,0.0,top
C102,200.406,-80.518,270.0,top
C103,200.406,-94.742,270.0,top
C104,200.406,-108.966,270.0,top
C105,200.279,-123.063,270.0,top
C106,204.47,-91.44,0.0,top
C107,204.47,-105.664,0.0,top
C108,204.47,-119.888,0.0,top
C109,204.47,-134.112,0.0,top
C11,124.079,-102.869999,90.0,top
C110,188.722,-106.68,0.0,top
C111,203.454,-80.518,270.0,top
C112,203.454,-94.742,270.0,top
C113,203.454,-108.966,270.0,top
C114,203.327,-123.19,270.0,top
C115,188.722,-120.904,0.0,top
C116,201.93,-81.026,0.0,top
C117,201.93,-95.25,0.0,top
C118,201.93,-109.474,0.0,top
C119,201.803,-123.698,0.0,top
C12,125.349,-103.378,90.0,top
C120,188.214,-108.204,90.0,top
C121,191.77,-133.096,270.0,top
C13,166.878,-51.308,0.0,top
C14,142.367,-132.08,90.0,top
C15,149.987,-132.08,90.0,top
C18,166.497,-77.724,270.0,top
C19,125.349,-82.55,270.0,top
C2,129.159,-56.36,90.0,top
C20,194.564,-49.276,90.0,top
C21,181.356,-49.276,90.0,top
C22,185.928,-96.774,270.0,top
C23,132.461,-129.413,0.0,top
C24,196.088,-48.006,270.0,top
C25,182.88,-48.006,270.0,top
C26,205.232,-64.262,270.0,top
C27,205.232,-58.166,270.0,top
C28,205.232,-67.31,270.0,top
C29,205.232,-61.214,270.0,top
C30,194.564,-47.244,270.0,top
C31,181.356,-47.244,270.0,top
C32,185.928,-94.234,270.0,top
C33,186.944,-131.572,270.0,top
C34,185.928,-91.694,270.0,top
C35,163.449,-131.572,90.0,top
C37,183.769,-64.643,270.0,top
C38,185.928,-89.154,270.0,top
C39,167.64,-71.374,180.0,top
C40,153.924,-51.054,90.0,top
C41,176.657,-69.342,0.0,top
C42,183.642,-86.868,0.0,top
C43,187.96,-49.276,90.0,top
C44,174.752,-49.276,90.0,top
C45,189.484,-48.006,270.0,top
C46,176.276,-48.006,270.0,top
C47,167.64,-66.294,180.0,top
C48,187.96,-47.244,270.0,top
C49,174.752,-47.244,270.0,top
C50,149.606,-43.434,270.0,top
C51,152.146,-43.434,270.0,top
C52,153.924,-54.102,270.0,top
C53,167.64,-61.214,180.0,top
C56,154.686,-43.434,270.0,top
C57,157.226,-43.434,270.0,top
C58,159.766,-43.434,270.0,top
C59,162.306,-43.434,270.0,top
C6,184.277,-76.834999,180.0,top
C61,176.652,-80.264,0.0,top
C62,176.657,-72.644,0.0,top
C66,156.083,-95.377,270.0,top
C68,154.559,-95.377,270.0,top
C69,201.676,-51.816,270.0,top
C7,134.112,-42.672,180.0,top
C71,155.575,-104.521,0.0,top
C73,147.193,-109.982,270.0,top
C74,137.287,-125.73,270.0,top
C76,149.733,-106.807,180.0,top
C77,201.676,-73.66,90.0,top
C78,156.083,-103.124,270.0,top
C8,139.192,-42.672,180.0,top
C80,153.289,-95.885,270.0,top
C81,155.067,-103.124,270.0,top
C83,145.161,-86.614,90.0,top
C84,143.891,-87.122,90.0,top
C85,130.302,-95.631,180.0,top
C86,129.794,-97.282,180.0,top
C87,123.571,-90.17,90.0,top
C88,139.827,-110.363,180.0,top
C89,156.082999,-101.219,90.0,top
C9,144.272,-42.672,180.0,top
C90,150.495,-111.887,0.0,top
C91,152.146,-109.22,90.0,top
C92,155.575,-110.617,180.0,top
C93,158.242,-108.331,90.0,top
C94,155.067,-101.219,90.0,top
C95,160.655,-101.219,90.0,top
C96,195.834,-85.09,270.0,top
C97,195.834,-99.314,270.0,top
